id	control2		Sailfish	Salmon	STAR
AT4G31320	0		0	0	0
AT4G31330	1.89		2.27296	2.158956	0
AT4G31340	81.89		97.6698	90.152012	0
AT4G31350	20.5		23.03443	20.604087	57.237386
AT4G31351	1.57		4.5745	4.664549	19.003729
AT4G31354	2.83		8.13812	12.05925	18.470681
AT4G31355	3.46		2.25569	1.972209	21.457567
AT4G31360	24.81		34.8675	33.598202	0.887294
AT4G31370	0		0	0	0.801583
AT4G31380	0.07		0.375295	0.477752	2.159895
AT4G31390	10.63		12.76983	11.463618	0
AT4G31400	0.99		1.692773	1.409747	0
AT4G31405	0		15.13371	13.419061	0
AT4G31410	12.04		18.428399	15.162891	0
AT4G31420	21.96		26.1797	24.446727	534.04425
AT4G31430	19.44		23.10212	20.872712	0.37864
AT4G31440	6.78		9.50158	8.647798	0
AT4G31441	11.15		42.469	269.808799	2.166042
AT4G31450	18.61		21.3877	19.710449	23.543261
AT4G31460	19.05		23.0232	21.729569	0
AT4G31470	0		0	0	0.96539
AT4G31480	40.33		54.85617	49.712899	30.046416
AT4G31490	20.31		26.097222	24.055608	29.139325
AT4G31500	134.73		153.469	142.270035	7.26921
AT4G31510	24.69		26.1047	24.748997	0.850052
AT4G31520	0.45		0.491108	0.425519	34.412313
AT4G31530	55.91		70.0584	65.804428	22.509436
AT4G31540	9.68		0	0	13.394072
AT4G31550	47.2		61.7135	57.638149	47.090592
AT4G31560	59.35		73.8341	71.93971	0.430379
AT4G31570	6.41		8.062505	6.609707	15.42148
AT4G31580	50.2		71.9536	62.559931	12.166382
AT4G31590	33.48		34.0148	31.191347	2.302185
AT4G31600	9.5		12.1957	11.418956	59.407261
AT4G31610	0		0	0	23.244474
AT4G31615	2.13		2.20577	2.045221	28.405038
AT4G31620	5.72		6.98419	6.325934	17.51849
AT4G31630	0		0	0	138.771538
AT4G31640	2.12		3.09134	2.923999	0.817748
AT4G31650	21.96		28.28014	25.077057	23.676796
AT4G31660	0		0	0	0
AT4G31670	5.53		6.44778	5.965984	24.378021
AT4G31680	0		0	0	52.365976
AT4G31685	0		0	0	250.463691
AT4G31690	0		0	0	108.823646
AT4G31700	160.5		208.6503	176.989017	1.507776
AT4G31710	0		0	0	6.38946
AT4G31715	0		0	0	15.918053
AT4G31720	54.29		61.091432	57.485188	0
AT4G31730	24.69		24.1751	23.146919	22.635686
AT4G31740	0		0	0	55.174106
AT4G31750	11.4		12.06548	11.28841	35.965354
AT4G31760	2.63		3.84076	3.700622	0
AT4G31770	3.34		3.45702	3.209584	55.834296
AT4G31780	31.98		39.56696	36.672256	161.124274
AT4G31790	13.98		19.097797	17.876909	65.583658
AT4G31800	85.43		107.1761	99.964345	0
AT4G31805	2.42		2.52273	2.626703	78.114218
AT4G31810	9.66		10.2465	9.325877	26.87548
AT4G31820	4.86		5.02632	4.600046	25.630247
AT4G31830	0		0	0	28.876634
AT4G31840	48.58		69.2524	67.092385	8.389008
AT4G31850	8.99		10.2953	9.348939	30.048322
AT4G31860	24.48		34.6977	29.226944	127.069065
AT4G31870	0.62		0.49265	0.469554	25.887886
AT4G31875	0.85		0.475369	0.443364	11.634589
AT4G31880	22.36		25.3371	23.113975	66.916412
AT4G31890	5.69		7.1347	6.421184	0
AT4G31900	0		0	0	4.913534
AT4G31910	12.78		14.2541	13.272028	0
AT4G31920	7.85		8.95496	8.264144	0
AT4G31930	4.57		4.77856	4.821964	4.035321
AT4G31940	0		0	0	0
AT4G31950	0		0	0	141.099443
AT4G31960	0		0	0	4.64218
AT4G31970	0		0	0	14.454256
AT4G31980	4.88		6.80298	6.350453	0
AT4G31985	271.9		292.973	299.537686	13.249409
AT4G31990	47.65		64.66654	58.994078	0
AT4G32000	20.46		24.75389	22.886708	12.791703
AT4G32010	11.63		13.15482	12.009873	18.889991
AT4G32020	470.44		404.137	373.468983	0
AT4G32030	31.4		42.1574	39.124418	1.312168
